Reference,Testing
28.367390581079434,25.72785700241717
34.628816862150195,24.231172993585645
41.965515951695345,24.690582994933095
18.976346559524146,16.97052443157323
34.668049553583884,35.36842476413922
34.24656752892622,29.4469066825708
32.823286160594286,26.369042552703004
54.61021061612968,37.23737483225794
28.32437081526173,15.451329902224687
25.80017052887868,19.011929949664836
39.57597321883077,35.52034426961931
36.349074603008276,18.719438108394815
56.922971344151655,43.695146152100456
